url,site_id,original_rent,rent,rent_with_utilities,origin_currency,rooms,baths,parking,location,city,previous_owners,construction_meters,floor,is_modificable,use_type,land_meters,amount_of_elevators,year_built,facilities,amount_of_facilities,observations
https://www.supercasas.com/apartamentos-alquiler-bella-vista/1398282/,1398282,1300.0,,83200.0,USD,1,2.0,1.0,Bella Vista,Santiago,Nueva,,0,No,Residencial,,0,,"['1/2 Baño', 'Agua Potable', 'Area de Juegos Infantiles', 'Area Servicio Independiente', 'Ascensor', 'Balcón', 'Control de Acceso', 'Cuarto de Servicio', 'Gimnasio', 'Lobby', 'Piscina', 'Seguridad 24 Horas', 'Terraza', 'Walk In Closet']",14.0,"Bella Vista
Alquiler Amueblado

Piso Alto
1 habitación
2 Baños
Sala
Comedor
Área de lavado
Balcón

Torre de lujo con piscina
Terraza
Solárium
Bar
Gimnasio
BBQ
Área Infantil
Lobby

Alquiler amueblado: US$1,300"
https://www.supercasas.com/apartamentos-alquiler-la-zurza-ii/1399708/,1399708,1300.0,,83200.0,USD,3,2.0,2.0,La Zurza II,Santiago,Segundo Uso,118.0,1,No,Residencial,,0,,"['Aire Acondicionado', 'Area de Juegos Infantiles', 'Area Servicio Independiente', 'Ascensor', 'Balcón', 'Cisterna', 'Control de Acceso', 'Piscina', 'Planta Eléctrica', 'Seguridad 24 Horas', 'Vestidores']",11.0,"Hermoso Apartamento, amueblado y amplio, para que puedas disfrutar de la tranquilidad que te mereces.

Terminación de primera y con una decoración moderna.

Cerca de centros de salud, supermercados, colegios y avenidas principales

Tres habitaciones climatizadas, cada una con baño y Walk in closet

Sala

Comedor

Baño de visitas

Balcón

2 Parqueos

Lavadora/Secadora

Hermosa decoración

Wifi"
https://www.supercasas.com/apartamentos-alquiler-santiago-de-los-caballeros/1414747/,1414747,30000.0,30000.0,,DOP,3,2.0,1.0,Santiago de los Caballeros,Santiago,Segundo Uso,,1,No,Residencial,,0,,"['Control de Acceso', 'Piscina', 'Seguridad 24 Horas']",3.0,"Tecasa Breezes – Alquiler
1er nivel con patio techado moderno

Distribución:

3 habitaciones

2 baños

Sala, comedor y cocina

Área de lavado

1 parqueo

Techos en sheetrock completo

Amenidades del residencial:

Piscina

Gimnasio

Cancha deportiva

Precio: RD$30,000 (incluye mantenimiento)

Un espacio moderno, funcional y en una excelente ubicación."
https://www.supercasas.com/apartamentos-alquiler-reparto-imperial/1401207/,1401207,1600.0,102400.0,102400.0,USD,3,2.5,2.0,Reparto Imperial,Santiago,Segundo Uso,224.0,1,No,Residencial,224.0,0,,"['Aire Acondicionado', 'Area de Juegos Infantiles', 'Balcón', 'Cisterna', 'Control de Acceso', 'Cuarto de Servicio', 'Piscina', 'Seguridad 24 Horas']",8.0,"Apartamento Amueblado en Alquiler - USD$1,600
 Zona Universitaria, Santiago, RD

Disfruta comodidad y seguridad 24/7
3 habitaciones + cuarto de servicio con baño
2.5 baños | ?? Piscina | ?? 2 parqueos
Patio + 2 balcones | ?? Gas propano y mantenimiento incluidos

Ideal para familias o profesionales que buscan tranquilidad y excelente ubicación."
https://www.supercasas.com/apartamentos-venta-y-alquiler-av--sabaneta-la-paloma/1412584/,1412584,1000.0,2240000.0,64000.0,USD,3,2.0,2.0,Av. Sabaneta La Paloma,Santiago,Segundo Uso,116.0,3,No,Residencial,,1,2023,"['1/2 Baño', 'Ascensor', 'Balcón', 'Cisterna', 'Control de Acceso', 'Family Room', 'Gazebo', 'Gimnasio', 'Inversor', 'Jacuzzi', 'Lobby', 'Piscina', 'Planta Eléctrica', 'Seguridad 24 Horas', 'Walk In Closet']",15.0,"partamento en Venta y Renta – Residencial Garden Tower

?? Ubicación estratégica:
	•	A 2 minutos de la Autopista Duarte
	•	A 3 minutos de la Universidad Hispanoamericana
	•	A 2 minutos del Colegio Holmes

? Características:
?? 3 habitaciones (principal con su baño)
?? 1 baño común
?? Sala y comedor
?? Cocina
?? Balcón
?? Área de lavado
?? 2 parqueos
?? Tercer nivel

????? Amenidades del residencial:
	•	Piscina
	•	Gazebo
	•	Gimnasio
	•	Seguridad 24/7 en entrada y etapas

?? Venta: US$165,000"
https://www.supercasas.com/apartamentos-alquiler-av--hispanoamericana/1399098/,1399098,8500.0,8500.0,,DOP,1,1.0,,Av. Hispanoamericana,Santiago,Segundo Uso,50.0,0,No,Residencial,,0,,"['Agua Potable', 'Cisterna']",2.0,"Alquilo Aparta Estudios de una sola habitación, cocina, baño cerca de UTESA.

Alquiler: RD$8,500 pesos

Llamar al (809) 299-2510 para más información.

HOPE BIENES RAÍCES"
https://www.supercasas.com/apartamentos-alquiler-la-zurza-i/1393027/,1393027,1200.0,,76800.0,USD,3,2.0,2.0,La Zurza I,Santiago,Segundo Uso,,0,No,Residencial,,0,,list[str],,"Se Renta Apartamento Amueblado en La Zurza, Santiago

Alquiler: US$1,200,00

 

Se renta confortable apartamento en 2do nivel en lugar tranquilo , fresco y residencial.
Urbanizacion cerca del área monumental , principales plazas ,farmacias , cerca del centro histórico de santiago .

 

 

DESCRIPCIÓN:
Recibidor
Sala secundaria
Sala principal
Amplio balcón forma L
Cocina
Área de lavado
3 habitaciónes , la habitación principal con baño integrado y clóset, otro baño común para las otras habitaciones con sus closet
Parqueo para 2 autos
Portón electrico
Lavadora y secadora
Aire acondicionados
Televisores
Incluye agua ,cable e internet"
https://www.supercasas.com/apartamentos-alquiler-las-dianas/1367238/,1367238,1000.0,64000.0,,USD,3,2.5,2.0,Las Dianas,Santiago,Nueva,149.0,3,No,Residencial,,0,,"['1/2 Baño', 'Agua Potable', 'Area Servicio Independiente', 'Balcón', 'Cisterna', 'Control de Acceso', 'Cuarto de Servicio', 'Seguridad 24 Horas', 'Vestidores', 'Walk In Closet']",10.0,
https://www.supercasas.com/apartamentos-alquiler-cerro-hermoso/1410661/,1410661,34000.0,34000.0,,DOP,3,2.0,2.0,Cerro Hermoso,Santiago,Nueva,,0,No,Residencial,,0,,list[str],,"Apartamento en Alquiler, 3er Nivel, Residencial Garden Towers.

Acogedor apartamento en alquiler, ubicado en el tercer nivel del Residencial Garden Towers, Próximo a la autopista Duarte Santiago. Un espacio moderno, seguro y tranquilo, ideal para quienes buscan comodidad y una excelente ubicación. 

Amenidades del Residencial:
•Piscina.
•Gimnasio.
•Ascensor.

Características del Apartamento:
•3 habitaciones. 
•La principal con vestidor y baño.
•Baño común.
•Sala.
•Comedor.
•Cocina.
•Área de lavado. 
•Balcón.
•2 parqueos. 

Precio Alquiler: RD$34,000 Con mantenimiento incluido.

Para más información contáctame."
https://www.supercasas.com/apartamentos-alquiler-gurabo/1415438/,1415438,30000.0,30000.0,,DOP,3,2.0,1.0,Gurabo,Santiago,Nueva,,1,No,Residencial,,0,,"['Area Servicio Independiente', 'Control de Acceso', 'Patio', 'Seguridad 24 Horas', 'Walk In Closet']",5.0,"APARTAMENTO EN ALQUILER – PRIMER NIVEL
Ubicación: Gurabo, Av. Gregorio Luperón – Santiago

Características del apartamento:
• 3 habitaciones, cada una con su baño
• Habitación principal con baño y walk-in closet
• Sala
• Comedor
• Cocina
• Balcón
• Área de lavado
• Estufa incrustada
• Horno
• Calentador
• Patio
• 1 parqueo

Precio de alquiler: RD$30,000 mensuales

Un apartamento cómodo, funcional y bien ubicado, ideal para quienes buscan vivir en una zona tranquila y con rápido acceso a servicios principales."
https://www.supercasas.com/apartamentos-alquiler-punal/1412736/,1412736,27000.0,27000.0,,DOP,2,2.0,,Puñal,Santiago,Nueva,,7,No,Residencial,,0,,"['Agua Potable', 'Balcón', 'Cisterna', 'Control de Acceso', 'Seguridad 24 Horas']",5.0,"Rento 7mo nivel a solo 3 minutos del aeropuerto 

??Puñal a menos de un minuto de la autopista duarte 

??2 habitación 
?? 2 baños completo
??Cocina
?? Área de lavado  

Amenidades actuales 
???? Piscina
?? Gimnasio
?? Laundry  

Y pronto:
?? Área de cine
?? Parque infantil
?? Gazebo y área de BBQ  

Precio: $27,000"
